player_id,player_name,recent_team,position,week,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,fantasy_points,passing_epa,rushing_epa,receiving_epa,target_share,air_yards_share,wopr,result
00-0036365,B.Edwards,ATL,WR,5,TB,0,0,0.0,0,0.0,0,0.0,0,1,10.0,0,1.0,,,-0.49781072,0.041666668,0.02347418,0.07893193,1.0
00-0036365,B.Edwards,ATL,WR,8,CAR,0,0,0.0,0,0.0,0,0.0,0,1,3.0,0,0.3,,,0.08574329,0.035714287,-0.0032786885,0.051276345,0.0
00-0036825,F.Franks,ATL,TE,5,TB,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,,,-1.0948471,0.083333336,0.26291078,0.30903757,1.0
00-0036825,F.Franks,ATL,TE,15,NO,0,0,0.0,0,0.0,1,0.0,0,0,0.0,0,0.0,,-0.8380997,,,,,0.0
00-0036829,C.Huntley,ATL,RB,2,LA,0,0,0.0,0,0.0,1,3.0,0,0,0.0,0,0.3,,-0.4220702,,,,,1.0
00-0036829,C.Huntley,ATL,RB,4,CLE,0,0,0.0,0,0.0,10,56.0,1,0,0.0,0,11.6,,3.6659563,,,,,0.0
00-0036829,C.Huntley,ATL,RB,5,TB,0,0,0.0,0,0.0,8,34.0,0,0,0.0,0,3.4,,-0.81763417,,,,,1.0
00-0036829,C.Huntley,ATL,RB,6,SF,0,0,0.0,0,0.0,16,59.0,0,0,0.0,0,5.9,,0.67483056,,,,,1.0
00-0036829,C.Huntley,ATL,RB,7,CIN,0,0,0.0,0,0.0,6,22.0,0,0,0.0,0,2.2,,-1.0826497,,,,,1.0
00-0036829,C.Huntley,ATL,RB,8,CAR,0,0,0.0,0,0.0,16,91.0,0,0,0.0,0,9.1,,1.83935,,,,,0.0
00-0036829,C.Huntley,ATL,RB,9,LAC,0,0,0.0,0,0.0,7,34.0,0,0,0.0,0,3.4,,0.041116305,,,,,1.0
00-0036829,C.Huntley,ATL,RB,10,CAR,0,0,0.0,0,0.0,5,32.0,0,0,0.0,0,3.2,,0.99532133,,,,,0.0
00-0036829,C.Huntley,ATL,RB,11,CHI,0,0,0.0,0,0.0,1,4.0,0,1,2.0,0,0.6,,-0.19758086,-0.41916427,0.055555556,-0.03846154,0.056410257,0.0
00-0036829,C.Huntley,ATL,RB,12,WAS,0,0,0.0,0,0.0,1,12.0,0,1,1.0,0,1.3,,0.80236334,-0.34537938,0.041666668,-0.014285714,0.0525,1.0
00-0036829,C.Huntley,ATL,RB,13,PIT,0,0,0.0,0,0.0,4,17.0,0,0,0.0,0,1.7,,-0.85614693,,,,,0.0
00-0036829,C.Huntley,ATL,RB,15,NO,0,0,0.0,0,0.0,1,2.0,0,0,0.0,0,0.2,,-0.6618584,,,,,0.0
00-0036950,A.Williams,ATL,RB,1,NO,0,0,0.0,0,0.0,2,7.0,0,1,8.0,0,1.5,,-0.22845924,0.584411,0.03125,-0.024822695,0.029499114,0.0
00-0036950,A.Williams,ATL,RB,2,LA,0,0,0.0,0,0.0,0,0.0,0,1,6.0,0,0.6,,,-0.5152525,0.04,-0.014851485,0.04960396,1.0
00-0036950,A.Williams,ATL,RB,3,SEA,0,0,0.0,0,0.0,1,9.0,0,0,0.0,0,0.9,,1.0207957,,,,,1.0
00-0036950,A.Williams,ATL,RB,4,CLE,0,0,0.0,0,0.0,1,21.0,0,0,0.0,0,2.1,,1.5367901,,,,,0.0
00-0036950,A.Williams,ATL,RB,5,TB,0,0,0.0,0,0.0,3,11.0,1,2,10.0,0,8.1,,1.4478546,-0.31846696,0.083333336,-0.02347418,0.10856807,1.0
00-0036950,A.Williams,ATL,RB,6,SF,0,0,0.0,0,0.0,2,6.0,0,1,2.0,0,0.8,,-1.0016874,-0.5077358,0.071428575,-0.077922076,0.052597404,1.0
00-0036950,A.Williams,ATL,RB,7,CIN,0,0,0.0,0,0.0,1,4.0,0,0,0.0,0,0.4,,-0.21929765,-1.5664316,0.083333336,-0.03,0.104,1.0
00-0036950,A.Williams,ATL,RB,8,CAR,0,0,0.0,0,0.0,0,0.0,0,2,7.0,0,0.7,,,0.4670131,0.071428575,0.0,0.10714286,0.0
00-0036950,A.Williams,ATL,RB,9,LAC,0,0,0.0,0,0.0,0,0.0,0,1,2.0,0,0.2,,,-0.94212025,0.04347826,0.005830904,0.06929903,1.0
00-0036950,A.Williams,ATL,RB,10,CAR,0,0,0.0,0,0.0,4,25.0,0,0,0.0,0,2.5,,0.023997756,,,,,0.0
00-0036950,A.Williams,ATL,RB,15,NO,0,0,0.0,0,0.0,0,0.0,0,2,10.0,0,1.0,,,0.7095845,0.07692308,0.004219409,0.118338205,0.0
00-0036950,A.Williams,ATL,RB,16,BAL,0,0,0.0,0,0.0,3,16.0,0,2,14.0,0,3.0,,0.89370996,1.5087016,0.06451613,-0.01,0.08977419,0.0
00-0036950,A.Williams,ATL,RB,17,ARI,0,0,0.0,0,0.0,1,-2.0,0,1,2.0,0,0.0,,-1.0353744,-0.50831085,0.04,-0.030075189,0.03894737,1.0
00-0036950,A.Williams,ATL,RB,18,TB,0,0,0.0,0,0.0,4,12.0,0,0,0.0,0,1.2,,-2.217752,,,,,0.0
00-0036951,F.Darby,ATL,WR,18,TB,0,0,0.0,0,0.0,0,0.0,0,1,15.0,0,1.5,,,1.2657944,0.035714287,0.04191617,0.08291274,0.0
00-0036970,K.Pitts,ATL,TE,1,NO,0,0,0.0,0,0.0,0,0.0,0,2,19.0,0,1.9,,,-1.5824887,0.21875,0.32978722,0.55897605,0.0
00-0036970,K.Pitts,ATL,TE,2,LA,0,0,0.0,0,0.0,0,0.0,0,2,19.0,0,1.9,,,0.4608095,0.12,0.12376238,0.26663366,1.0
00-0036970,K.Pitts,ATL,TE,3,SEA,0,0,0.0,0,0.0,0,0.0,0,5,87.0,0,8.7,,,6.361791,0.42105263,0.52272725,0.997488,1.0
00-0036970,K.Pitts,ATL,TE,4,CLE,0,0,0.0,0,0.0,0,0.0,0,1,25.0,0,2.5,,,-0.982903,0.22222222,0.2625,0.51708335,0.0
00-0036970,K.Pitts,ATL,TE,6,SF,0,0,0.0,0,0.0,0,0.0,0,3,19.0,1,7.9,,,2.2201679,0.21428572,0.23376623,0.48506492,1.0
00-0036970,K.Pitts,ATL,TE,7,CIN,0,0,0.0,0,0.0,0,0.0,0,3,9.0,0,0.9,,,-2.6341832,0.41666666,0.2,0.765,1.0
00-0036970,K.Pitts,ATL,TE,8,CAR,0,0,0.0,0,0.0,0,0.0,0,5,80.0,1,14.0,,,3.2309399,0.32142857,0.18688525,0.61296254,0.0
00-0036970,K.Pitts,ATL,TE,9,LAC,0,0,0.0,0,0.0,0,0.0,0,2,27.0,0,2.7,,,-0.7051659,0.3043478,0.606414,0.88101155,1.0
00-0036970,K.Pitts,ATL,TE,10,CAR,0,0,0.0,0,0.0,0,0.0,0,2,28.0,0,2.8,,,-3.5451663,0.27586207,0.3857143,0.6837931,0.0
00-0036970,K.Pitts,ATL,TE,11,CHI,0,0,0.0,0,0.0,0,0.0,0,3,43.0,0,4.3,,,0.553793,0.2777778,0.30769232,0.6320513,0.0
00-0037238,D.London,ATL,WR,1,NO,0,0,0.0,0,0.0,0,0.0,0,5,74.0,0,7.4,,,4.130487,0.21875,0.31205675,0.5465647,0.0
00-0037238,D.London,ATL,WR,2,LA,0,0,0.0,0,0.0,0,0.0,0,8,86.0,1,16.6,,,3.921907,0.48,0.46534654,1.0457426,1.0
00-0037238,D.London,ATL,WR,3,SEA,0,0,0.0,0,0.0,0,0.0,0,3,54.0,1,11.4,,,5.4344325,0.31578946,0.29220778,0.6782297,1.0
00-0037238,D.London,ATL,WR,4,CLE,0,0,0.0,0,0.0,0,0.0,0,2,17.0,0,1.7,,,-8.927261,0.3888889,0.25833333,0.76416665,0.0
00-0037238,D.London,ATL,WR,5,TB,0,0,0.0,0,0.0,0,0.0,0,4,35.0,0,3.5,,,0.72053313,0.29166666,0.27230048,0.62811035,1.0
00-0037238,D.London,ATL,WR,6,SF,0,0,0.0,0,0.0,0,0.0,0,3,40.0,0,4.0,,,1.0397533,0.2857143,0.46753246,0.7558442,1.0
00-0037238,D.London,ATL,WR,7,CIN,0,0,0.0,0,0.0,0,0.0,0,1,9.0,0,0.9,,,0.7480752,0.083333336,0.05,0.16,1.0
00-0037238,D.London,ATL,WR,8,CAR,0,0,0.0,0,0.0,0,0.0,0,4,31.0,0,3.1,,,2.3183491,0.17857143,0.19344263,0.40326697,0.0
00-0037238,D.London,ATL,WR,9,LAC,0,0,0.0,0,0.0,0,0.0,0,3,23.0,0,0.3,,,-9.490317,0.3043478,0.17784257,0.58101153,1.0
00-0037238,D.London,ATL,WR,10,CAR,0,0,0.0,0,0.0,0,0.0,0,5,38.0,1,9.8,,,2.4570954,0.20689656,0.2,0.45034483,0.0
00-0037238,D.London,ATL,WR,11,CHI,0,0,0.0,0,0.0,0,0.0,0,1,2.0,1,6.2,,,-1.8769026,0.16666667,0.115384616,0.33076924,0.0
00-0037238,D.London,ATL,WR,12,WAS,0,0,0.0,0,0.0,0,0.0,0,2,29.0,0,2.9,,,0.2911657,0.16666667,0.07857143,0.305,1.0
00-0037238,D.London,ATL,WR,13,PIT,0,0,0.0,0,0.0,0,0.0,0,6,95.0,0,9.5,,,-3.0157192,0.5,0.47058824,1.0794117,0.0
00-0037238,D.London,ATL,WR,15,NO,0,0,0.0,0,0.0,0,0.0,0,7,70.0,0,5.0,,,1.89313,0.42307693,0.4050633,0.91815966,0.0
00-0037238,D.London,ATL,WR,16,BAL,0,0,0.0,0,0.0,0,0.0,0,7,96.0,0,7.6,,,4.4727755,0.29032257,0.54,0.8134839,0.0
00-0037238,D.London,ATL,WR,17,ARI,0,0,0.0,0,0.0,0,0.0,0,5,47.0,0,4.7,,,-2.198296,0.32,0.35338345,0.7273684,1.0
00-0037238,D.London,ATL,WR,18,TB,0,0,0.0,0,0.0,0,0.0,0,6,120.0,0,12.0,,,9.823147,0.2857143,0.43712574,0.7345595,0.0
